PARCELA;SUB-PARCELA ;ESTRATO;IND. No.;NOMBRE COMUN;NOMBRE CIENTIFICO;FAMILIA;ALTURA TOTAL (m);ALTURA COMERCIAL  (m);CAP (cm);DAP (m);A.B. TOTAL (m2);V. COMERCIAL (m3);V. TOTAL (m3);DIAM. COPA X (m);DIAM. COPA Y (m);COORDENADA E;COORDENADA N
4r;7;Fustal;45;NN 17;Ampelocera edentula Kuhlm.;Ulmaceae;10;5;49;0,16;0,0191;0,0621;0,1242;5;6;962634,5789;913412,3983
4r;7;Fustal;46;Malagueto negro;Guatteria schomburgkiana Mart.;Annonaceae;16;12;52;0,17;0,0215;0,1678;0,2238;5;6;962613,4692;913399,1369
4r;9;Fustal;47;Palma cumare;Astrocaryum chambira Burret;Arecaceae;14;10;80;0,25;0,0509;0,3310;0,4635;4;7;962622,8571;913404,1093
4r;9;Fustal;48;Laurel oloroso;Aniba panurensis (Meisn.) Mez;Lauraceae;12;8;71,5;0,23;0,0407;0,2115;0,3173;6;5;962622,8571;913404,1093
4r;9;Fustal;49;Palma cumare;Astrocaryum chambira Burret;Arecaceae;16;12;60;0,19;0,0286;0,2235;0,2979;4;4;962622,8571;913404,1093
4r;9;Fustal;50;Carne gallina;Dendropanax arboreus (L.) Decne. & Planch.;Araliaceae;11;7;33;0,11;0,0087;0,0394;0,0620;4;3;962622,8571;913404,1093
4r;9;Fustal;51;Laurel oloroso;Aniba panurensis (Meisn.) Mez;Lauraceae;18;10;115;0,37;0,1052;0,6841;1,2313;13;14;962622,8571;913404,1093
4r;9;Fustal;52;NN 10;Piper cf. demeraranum (Miq.) C.DC.;Piperaceae;17;12;120;0,38;0,1146;0,8938;1,2662;9;11;962622,8571;913404,1093
4r;9;Fustal;53;NN 2;Miconia minutiflora (Bonpl.) DC.;Melastomataceae;14;8;71;0,23;0,0401;0,2086;0,3650;7;6;962622,8571;913404,1093
4r;9;Fustal;54;Palma cumare;Astrocaryum chambira Burret;Arecaceae;7;3;54;0,17;0,0232;0,0452;0,1056;6;6;962622,8571;913404,1093
4r;9;Fustal;55;Guayabo rebalcero;Myrcia paivae O.Berg;Myrtaceae;10;7;32;0,10;0,0081;0,0371;0,0530;3;3;962622,8571;913404,1093
4r;9;Fustal;56;Palma cucurita;Attalea maripa (Aubl.) Mart.;Arecaceae;12;8;69;0,22;0,0379;0,1970;0,2955;6;5;962622,8571;913404,1093
4r;10;Fustal;57;Gualanday;Jacaranda obtusifolia Bonpl.;Bingnoniaceae;10;6;33,5;0,11;0,0089;0,0348;0,0580;6;7;962622,8571;913404,1093
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
